hosp_id,hosp_name,hosp_type,hosp_network_status,hosp_registration_number,hosp_insurer_hospital_id,hosp_tpa_hospital_id,hosp_pan,hosp_address_line_1,hosp_address_line_2,hosp_address_line_3,hosp_landmark,hosp_city,hosp_district,hosp_state,hosp_country,hosp_pin_code,hosp_latitude,hosp_longitude,hosp_contact_number,hosp_email,hosp_website,hosp_primary_specialty,hosp_secondary_specialty,hosp_total_beds,hosp_emergency_services,hosp_cashless_facility_flag,hosp_opd_facility_flag,hosp_lab_facility_flag,hosp_pharmacy_facility_flag,hosp_ambulance_facility_flag,hosp_operating_theaters,hosp_blood_bank_flag,hosp_cardiac_unit_flag,hosp_neurology_unit_flag,hosp_orthopedic_unit_flag,hosp_oncology_unit_flag,hosp_pediatrics_unit_flag,hosp_maternity_unit_flag,hosp_inspection_date,hosp_inspection_status,hosp_license_expiry_date,hosp_area,hosp_susp_flag,hosp_non_pref_flag,hosp_defunct_flag,hosp_gross_med_negligence_ind,hosp_total_icu_beds,hosp_total_ventilators,hosp_susp_flag_date
HOSP-0001,Ramachandran Medical Center,Private,Non-Network,MHMC-35248,INS-HOSP-5573,TPA-HOSP-972,SGEHC2763C,H.No. 07- Gole Circle,Ray Circle,Panipat,Behind Mall,Coimbatore,Coimbatore,Tamil Nadu,India,655915,11.072678,76.95158,02516505768,nshenoy@chand-seshadri.com,www.kota-venkataraman.com,General Medicine,Orthopedics,133,Yes,Yes,Yes,No,Yes,Yes,14,Yes,No,No,No,No,Yes,No,2025-01-27,Passed,2028-03-08,Urban,No,No,No,0,13,6,
HOSP-0002,Gola Medical Center,Private,Network,MHMC-86538,INS-HOSP-6948,TPA-HOSP-624,MYCMG9202H,719 Mann Road,Bhardwaj,Bilaspur,,Pune,Pune,Maharashtra,India,499933,18.535173,73.919946,3077880125,farhan35@batra.com,www.ramanathan.com,Pediatrics,Oncology,159,Yes,Yes,Yes,Yes,Yes,Yes,13,No,No,No,Yes,No,No,Yes,2025-03-04,Passed,2026-09-18,Urban,No,No,No,0,15,7,
HOSP-0003,Dhingra Medical Center,Government,Non-Network,MHMC-32348,INS-HOSP-8806,TPA-HOSP-576,NQBAF0548C,21/18 Thakur Road,Hayer Circle,Junagadh,Near Metro Station,Howrah,Howrah,West Bengal,India,715844,22.576465,88.285709,06175567746,fatehkala@sibal-golla.org,www.dhaliwal-kata.com,General Surgery,Cardiology,183,Yes,Yes,Yes,Yes,Yes,Yes,9,Yes,No,No,No,Yes,No,No,2024-12-11,Passed,2027-01-31,Urban,No,No,No,0,18,9,
HOSP-0004,Chacko Medical Center,Charitable,Network,MHMC-21599,INS-HOSP-6115,TPA-HOSP-741,FQROS4682D,59 Choudhury Marg,Khanna Nagar,Vellore,Near Metro Station,Howrah,Howrah,West Bengal,India,764762,22.557671,88.336837,2153693372,baniktejas@srinivasan-agarwal.net,www.ramakrishnan.com,Orthopedics,General Medicine,165,Yes,No,Yes,Yes,Yes,Yes,8,Yes,No,No,Yes,No,Yes,Yes,2024-12-30,Passed,2028-01-03,Urban,No,No,No,0,16,8,
HOSP-0005,Koshy Medical Center,Private,Non-Network,MHMC-21420,INS-HOSP-8682,TPA-HOSP-747,YEMKU1014C,94- Salvi Nagar,Sidhu Road,Pune,Behind Mall,Mysore,Mysore,Karnataka,India,570206,12.362306,76.60889,03416254464,kulkarnivedika@tandon-sem.com,www.ramakrishnan.com,Oncology,Pediatrics,963,Yes,No,Yes,Yes,Yes,Yes,2,Yes,No,Yes,No,No,Yes,Yes,2024-09-13,Passed,2027-08-09,Rural,No,No,No,0,96,48,
HOSP-0006,Gera Care,Private,Network,MHMC-34610,INS-HOSP-7378,TPA-HOSP-889,JXHZC8515N,00/55- Gera Street,Dada Street,Barasat,Behind Mall,Coimbatore,Coimbatore,Tamil Nadu,India,699000,10.968301,77.067989,+913894296554,miraya88@sharaf-chacko.com,www.gokhale.info,Orthopedics,General Medicine,814,Yes,Yes,Yes,Yes,Yes,Yes,17,Yes,No,No,No,No,No,No,2025-04-02,Passed,2028-04-26,Urban,No,No,No,0,81,40,
HOSP-0007,Sandhu Hospital,Government,Network,MHMC-51821,INS-HOSP-8695,TPA-HOSP-401,APETV5125J,83/951- Agate Road,Lad Circle,Sangli-Miraj & Kupwad,Opposite Park,Bangalore,Bangalore,Karnataka,India,577588,13.09072,77.506552,7292473260,gdalia@singh-sane.com,www.bains-saraf.com,Neurology,Oncology,195,Yes,Yes,Yes,Yes,Yes,Yes,7,No,No,Yes,Yes,No,No,Yes,2025-07-11,Passed,2028-03-31,Urban,No,No,No,0,19,9,
HOSP-0008,Deshmukh Care,Private,Network,MHMC-42292,INS-HOSP-2112,TPA-HOSP-962,ZJYKR3237T,16/56 Kaur Road,Dutta Path,Nanded,Near Metro Station,Kolkata,Kolkata,West Bengal,India,784859,22.640791,88.337049,3721302357,advikchokshi@magar-varkey.net,www.jain.com,Oncology,Pediatrics,739,Yes,Yes,No,Yes,Yes,Yes,14,Yes,Yes,Yes,No,Yes,Yes,Yes,2025-04-23,Failed,2027-12-29,Urban,No,No,No,0,73,36,
HOSP-0009,Shukla Hospital,Private,Non-Network,MHMC-37123,INS-HOSP-6791,TPA-HOSP-930,ENHYK3807F,H.No. 10- Balakrishnan Circle,Sathe Street,Amroha,,Nagpur,Nagpur,Maharashtra,India,408768,21.148542,79.033211,+916223937322,dchada@dhar-thakur.info,www.rout.org,Pediatrics,General Medicine,380,Yes,No,Yes,Yes,Yes,Yes,9,Yes,Yes,No,Yes,No,Yes,No,2025-07-10,Passed,2028-04-21,Urban,No,No,No,0,38,19,
HOSP-0010,Date Medical Center,Government,Non-Network,MHMC-58230,INS-HOSP-7683,TPA-HOSP-659,WLHZI2567A,10 Samra Ganj,Kakar Circle,Imphal,Opposite Park,New Delhi,New Delhi,Delhi,India,110064,28.501887,77.186915,+913034921351,heer96@din.com,www.agrawal.com,Neurology,Oncology,695,Yes,No,Yes,Yes,Yes,Yes,6,No,No,Yes,No,No,No,Yes,2024-11-01,Passed,2028-03-01,Urban,No,No,No,0,69,34,
