policy_number,member_id
POL-46309,MEMBER-013292
POL-12553,MEMBER-003469
POL-12553,MEMBER-006712
POL-12553,MEMBER-011570
POL-22503,MEMBER-013234
POL-22503,MEMBER-001218
POL-22503,MEMBER-006397
POL-22503,MEMBER-007703
POL-37240,MEMBER-003471
POL-46980,MEMBER-000071
POL-46980,MEMBER-005648
POL-46980,MEMBER-006589
POL-46980,MEMBER-007996
POL-42121,MEMBER-011858
POL-42121,MEMBER-006678
POL-42121,MEMBER-009296
POL-24459,MEMBER-009958
POL-24459,MEMBER-011760
POL-24459,MEMBER-002555
POL-36084,MEMBER-008812
POL-22607,MEMBER-010893
POL-22607,MEMBER-003097
POL-22607,MEMBER-011579
POL-22607,MEMBER-002081
POL-26952,MEMBER-006872
POL-26952,MEMBER-006923
POL-26952,MEMBER-006679
POL-21323,MEMBER-003650
POL-21323,MEMBER-002719
POL-21323,MEMBER-009533
POL-23347,MEMBER-003347
POL-23347,MEMBER-009542
POL-24606,MEMBER-008439
POL-24606,MEMBER-000260
POL-24606,MEMBER-002782
POL-24606,MEMBER-006960
POL-14778,MEMBER-001245
POL-14778,MEMBER-012085
POL-14778,MEMBER-002782
POL-14778,MEMBER-005155
POL-14778,MEMBER-011708
POL-30636,MEMBER-002443
POL-20678,MEMBER-009523
POL-24475,MEMBER-004398
POL-38875,MEMBER-010314
POL-38875,MEMBER-003766
POL-38875,MEMBER-001580
POL-38875,MEMBER-007594
POL-20103,MEMBER-011189
POL-20103,MEMBER-003886
POL-20103,MEMBER-001345
POL-20103,MEMBER-011786
POL-20103,MEMBER-011907
POL-44923,MEMBER-012683
POL-44923,MEMBER-012970
POL-44923,MEMBER-003199
POL-44923,MEMBER-009872
POL-22866,MEMBER-007876
POL-22866,MEMBER-008592
POL-22866,MEMBER-011323
POL-22866,MEMBER-013063
POL-22866,MEMBER-011948
POL-19070,MEMBER-008374
POL-19070,MEMBER-012346
POL-19070,MEMBER-006351
POL-19070,MEMBER-007730
POL-48698,MEMBER-013617
POL-48698,MEMBER-001810
POL-48698,MEMBER-000959
POL-48698,MEMBER-012415
POL-16793,MEMBER-008247
POL-16793,MEMBER-014913
POL-16793,MEMBER-006831
POL-18992,MEMBER-012243
POL-18992,MEMBER-001637
POL-24287,MEMBER-009866
POL-16825,MEMBER-014293
POL-44245,MEMBER-004159
POL-44245,MEMBER-001058
POL-44245,MEMBER-003146
POL-19323,MEMBER-005272
POL-19323,MEMBER-010736
POL-19323,MEMBER-006923
POL-19323,MEMBER-001235
POL-19323,MEMBER-003770
POL-16534,MEMBER-003322
POL-28797,MEMBER-006922
POL-28797,MEMBER-008970
POL-28797,MEMBER-002146
POL-28797,MEMBER-003132
POL-27155,MEMBER-010793
POL-27155,MEMBER-014875
POL-49312,MEMBER-013812
POL-49312,MEMBER-002750
POL-49312,MEMBER-004647
POL-18534,MEMBER-012572
POL-18534,MEMBER-007283
POL-18534,MEMBER-002788
POL-47702,MEMBER-007989
POL-47702,MEMBER-011928
POL-47702,MEMBER-002680
POL-47702,MEMBER-014919
POL-47702,MEMBER-004384
POL-34605,MEMBER-008641
POL-34605,MEMBER-000886
POL-34605,MEMBER-005432
POL-34605,MEMBER-003090
POL-37805,MEMBER-005448
POL-46666,MEMBER-006953
POL-46666,MEMBER-008040
POL-46666,MEMBER-001834
POL-46666,MEMBER-003300
POL-46666,MEMBER-011460
POL-21405,MEMBER-014011
POL-21405,MEMBER-008635
POL-21405,MEMBER-004063
POL-21405,MEMBER-006994
POL-21405,MEMBER-001483
POL-49977,MEMBER-006388
POL-49977,MEMBER-009609
POL-16990,MEMBER-005615
POL-45943,MEMBER-001291
POL-45943,MEMBER-006753
POL-45943,MEMBER-002616
POL-20750,MEMBER-009870
POL-20750,MEMBER-001737
POL-46996,MEMBER-006992
POL-46996,MEMBER-008114
POL-46996,MEMBER-006577
POL-46996,MEMBER-004168
POL-25876,MEMBER-014653
POL-25876,MEMBER-002375
POL-25876,MEMBER-014725
POL-20117,MEMBER-005900
POL-20117,MEMBER-004892
POL-26041,MEMBER-013822
POL-26041,MEMBER-013541
POL-22016,MEMBER-001813
POL-39988,MEMBER-007390
POL-39988,MEMBER-014026
POL-28619,MEMBER-000365
POL-28619,MEMBER-009445
POL-28619,MEMBER-011687
POL-28619,MEMBER-012396
POL-28619,MEMBER-007034
POL-42537,MEMBER-007167
POL-42537,MEMBER-012811
POL-17972,MEMBER-003431
POL-17972,MEMBER-014990
POL-17972,MEMBER-007752
POL-17972,MEMBER-008760
POL-15065,MEMBER-002297
POL-32649,MEMBER-007240
POL-32649,MEMBER-000947
POL-24319,MEMBER-003620
POL-24319,MEMBER-002680
POL-24319,MEMBER-014561
POL-24319,MEMBER-001707
POL-29888,MEMBER-012176
POL-29888,MEMBER-009558
POL-29888,MEMBER-009954
POL-29888,MEMBER-001097
POL-16657,MEMBER-002367
POL-16657,MEMBER-011482
POL-16657,MEMBER-014147
POL-16657,MEMBER-008158
POL-16657,MEMBER-000942
POL-30066,MEMBER-009890
POL-30066,MEMBER-006852
POL-43330,MEMBER-008805
POL-43330,MEMBER-010480
POL-43330,MEMBER-012162
POL-22821,MEMBER-000031
POL-32315,MEMBER-001701
POL-32315,MEMBER-010704
POL-27288,MEMBER-009951
POL-27288,MEMBER-006104
POL-27288,MEMBER-003818
POL-39562,MEMBER-011070
POL-39562,MEMBER-000995
POL-46197,MEMBER-003038
POL-42354,MEMBER-008438
POL-42354,MEMBER-012165
POL-43895,MEMBER-005116
POL-43895,MEMBER-004237
POL-43895,MEMBER-010730
POL-23174,MEMBER-003793
POL-33260,MEMBER-011062
POL-33260,MEMBER-014487
POL-33260,MEMBER-005709
POL-32003,MEMBER-001202
POL-17525,MEMBER-001640
POL-17525,MEMBER-002748
POL-17525,MEMBER-012725
POL-17525,MEMBER-011404
POL-17525,MEMBER-011128
POL-45161,MEMBER-010249
POL-45161,MEMBER-013737
POL-45161,MEMBER-009895
POL-45161,MEMBER-012685
POL-45161,MEMBER-013807
POL-16481,MEMBER-008630
POL-16481,MEMBER-003014
POL-16481,MEMBER-004885
POL-47411,MEMBER-000763
POL-47411,MEMBER-012039
POL-47411,MEMBER-002625
POL-47411,MEMBER-008230
POL-24803,MEMBER-014685
POL-24803,MEMBER-005905
POL-38411,MEMBER-000109
POL-38411,MEMBER-003611
POL-38411,MEMBER-010847
POL-38411,MEMBER-011460
POL-38411,MEMBER-004435
POL-19760,MEMBER-001075
POL-25067,MEMBER-011674
POL-33023,MEMBER-011930
POL-33023,MEMBER-004462
POL-33023,MEMBER-005947
POL-27069,MEMBER-014171
POL-27069,MEMBER-012976
POL-27069,MEMBER-002222
POL-11341,MEMBER-000228
POL-11341,MEMBER-008175
POL-11341,MEMBER-010161
POL-11341,MEMBER-014649
POL-27930,MEMBER-006456
POL-27930,MEMBER-005900
POL-27930,MEMBER-004664
POL-27930,MEMBER-009136
POL-44793,MEMBER-009202
POL-37126,MEMBER-007969
POL-36321,MEMBER-013984
POL-36321,MEMBER-004629
POL-45957,MEMBER-004014
POL-45957,MEMBER-014523
POL-14348,MEMBER-010035
POL-14348,MEMBER-003608
POL-37297,MEMBER-003877
POL-48163,MEMBER-002343
POL-48163,MEMBER-011686
POL-49886,MEMBER-012096
POL-49886,MEMBER-013129
POL-49886,MEMBER-007835
POL-49886,MEMBER-010285
POL-49886,MEMBER-013118
POL-28533,MEMBER-001143
POL-28533,MEMBER-011553
POL-28533,MEMBER-005601
POL-25402,MEMBER-002656
POL-25402,MEMBER-000997
POL-25402,MEMBER-004284
POL-25402,MEMBER-011127
POL-35823,MEMBER-011019
POL-35823,MEMBER-001095
POL-35823,MEMBER-012915
POL-33858,MEMBER-013688
POL-33858,MEMBER-009574
POL-33858,MEMBER-014364
POL-33858,MEMBER-011923
POL-33858,MEMBER-005195
POL-36634,MEMBER-014070
POL-36634,MEMBER-013159
POL-36634,MEMBER-007834
POL-35615,MEMBER-001447
POL-35615,MEMBER-009649
POL-35615,MEMBER-014115
POL-35615,MEMBER-012149
POL-35615,MEMBER-000965
POL-44290,MEMBER-001841
POL-44290,MEMBER-014873
POL-44290,MEMBER-006249
POL-47382,MEMBER-012945
POL-47382,MEMBER-002250
POL-47382,MEMBER-008727
POL-47382,MEMBER-014465
POL-48617,MEMBER-001924
POL-48617,MEMBER-003356
POL-24201,MEMBER-011954
POL-24201,MEMBER-013164
POL-24201,MEMBER-010302
POL-24201,MEMBER-007054
POL-32967,MEMBER-011882
POL-32967,MEMBER-011345
POL-32967,MEMBER-014092
POL-32967,MEMBER-005999
POL-32967,MEMBER-010146
POL-10537,MEMBER-000617
POL-10537,MEMBER-002413
POL-10537,MEMBER-012993
POL-39272,MEMBER-010928
